Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
3001,Anshu Pathak,67,89,55,94,46,34,44,24,86,32,52
3002,Kishor Biyani,89,48,79,32,60,66,62,52,95,73,73
3003,Munjal Shah,78,45,76,84,37,86,63,22,63,52,69
3004,Anil Bhanupriya,76,59,21,87,69,88,37,43,76,88,74
3005,Besent Kumar,27,21,91,64,56,51,76,82,25,49,69
3006,Diana,61,83,20,40,83,42,78,58,57,28,87
3007,Raghu Govind,26,81,25,39,86,30,79,94,84,70,87
3008,Manyathi Shetty,49,37,20,71,71,41,45,80,64,83,60
3009,Suman Bhattacharya,45,80,75,75,61,92,48,74,31,75,48
3010,Devanshu Mishra,20,76,46,23,47,63,43,75,32,69,20
3011,Karan Thapa,62,74,46,89,75,60,88,55,93,70,49
3012,Farhan Ali,72,72,60,21,71,32,87,86,73,79,62
3013,Ashwini Pushpa,59,74,73,41,23,79,86,85,88,85,34
3014,Michel Dsuza,42,42,39,48,64,20,63,88,28,58,61
3015,Nagashruthi,91,92,87,80,26,31,74,90,66,63,35
3016,Chandrsekhar Kudwa,80,49,34,55,57,43,54,85,58,93,44
3017,Niharika Popat,82,21,86,48,74,63,77,94,46,79,34
3018,Jivan Rao,47,48,95,60,43,69,75,43,31,94,87
3019,Muhul Ghade,75,68,93,20,24,42,81,92,58,36,55
3020,Manshukh Bhayani,58,47,46,93,21,89,77,54,26,77,95
