Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
4001,Md. Irfan,51,84,23,78,64,23,92,66,93,53,68
4002,Swati Shankar,58,58,64,84,19,63,48,90,65,30,83
4003,Mashuk Khan,49,78,75,48,66,50,95,48,48,68,29
4004,Jaspreet Kaur,91,81,62,18,83,70,65,92,59,15,82
4005,Ismail Ahmed,55,52,48,33,70,37,73,73,81,64,70
4006,Atanu Sanyal,56,71,25,51,64,75,69,62,69,38,84
4007,Monica Bharti,71,56,48,67,28,79,92,76,66,32,30
4008,Bipul Bindal,70,84,79,63,62,29,89,73,79,76,41
4009,Chanchal Panidhar,47,60,67,33,29,39,53,67,53,73,77
4010,Hashmukh Patel,94,51,60,38,38,35,48,93,89,31,84
4011,Ridhima Shetty,48,73,73,31,28,38,76,85,65,35,40
4012,Anukul Seth,47,83,37,30,67,79,79,59,80,79,55
4013,Jyoti Sridharan,82,68,69,29,28,39,50,65,52,17,53
4014,Afsana Anjum,92,59,85,68,50,69,78,65,69,37,20
4015,Sunaina Prabhu,92,95,56,16,57,31,60,49,47,58,53
4016,Jemeira Sami,66,88,77,29,60,77,63,54,93,21,68
4017,Derek Pinto,62,70,79,85,21,18,51,47,55,52,50
4018,Sameera Gowda,53,93,48,19,83,56,79,44,66,59,49
4019,Nitin Deewan,68,64,74,60,81,74,79,65,91,39,78
4020,Sayantan Ghosh,68,66,34,33,50,78,83,84,85,76,63
