Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
5001,Swetashi Aiyyar,61,87,90,60,62,61,42,28,79,79,79
5002,Mira Rajput,80,25,86,56,49,62,67,26,30,55,50
5003,Deepali Sanyal,23,49,61,76,85,63,62,22,34,89,58
5004,Ayansh Mukherjee,46,54,91,97,70,64,75,65,60,93,39
5005,Mihika Kalra,59,71,68,53,45,72,71,21,51,45,86
5006,James Fernandes,37,60,97,44,63,61,29,63,50,67,82
5007,Andrew Peter,61,22,72,94,52,65,28,76,56,60,79
5008,Atin Choudhari,40,74,94,64,82,48,71,79,61,82,61
5009,Kalyan Krupanidhi,56,33,62,58,72,60,66,77,39,48,61
5010,Raga Lalitha,53,75,74,48,86,53,55,54,38,57,42
5011,Somesh Jha,63,36,88,50,87,89,52,44,82,92,42
5012,Jashwant Bhide,78,64,60,87,46,62,63,25,45,47,79
5013,Suyash Chaturvedi,86,57,94,57,76,69,37,30,20,91,48
5014,Nirmala,83,48,90,50,59,47,62,37,71,97,38
5015,Yatindra Sharma,55,76,97,93,73,48,49,59,54,51,30
5016,Shivalik Gonda,58,35,52,94,46,54,58,25,82,56,20
5017,Mitushi Ghosh,37,76,63,61,82,89,79,72,31,98,36
5018,Nayan Mahadevan,65,81,73,75,58,64,22,64,22,72,88
5019,Rishi Damul,65,45,80,83,64,61,50,51,55,97,41
5020,Kumar Amar,55,52,97,94,52,77,23,53,62,56,66
