Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
2001,Ashok Chauhan,32,63,84,67,89,43,41,35,48,24,23
2002,Bibhor Gupta,53,91,65,79,23,55,63,45,23,80,64
2003,Akshay Agarwal,49,71,80,62,47,89,20,57,66,42,48
2004,Rahul Bansal,82,73,23,53,70,46,88,42,81,20,67
2005,Kriti Singh,47,41,58,30,38,72,49,83,86,88,86
2006,Reshma Sultana,60,62,61,25,87,49,22,61,75,39,73
2007,Agriya Marandi,34,86,36,48,40,63,81,73,48,55,58
2008,Emanuel Joseph,44,23,44,67,31,39,37,32,39,81,43
2009,Rituraj Khanna,70,45,51,30,41,42,69,86,21,47,75
2010,Sofiya Ahmed,23,76,37,58,84,83,59,66,26,45,66
2011,James Gabriel,69,71,44,41,58,83,25,37,65,40,23
2012,Ekta Banerjee,33,73,40,88,73,23,64,67,68,23,60
2013,Richa Gopanayak,67,23,42,77,34,89,37,77,90,37,63
2014,Sukriti Verma,61,91,39,29,59,45,33,54,71,33,45
2015,Pranav Verma,36,65,72,85,68,25,68,71,22,39,25
2016,Arjun Godbole,75,23,63,60,47,25,35,82,47,26,40
2017,Himanshu Joshi,30,65,44,20,25,68,42,46,75,85,73
2018,Simi Bhansali,29,79,35,84,29,83,56,31,58,32,41
2019,Krishna Priya,57,76,58,84,61,77,59,52,56,75,67
2020,Deep Dasgupta,38,36,23,20,39,76,73,58,52,42,28
